"TransactionID			",Report Type,Status,ProcessLog,RunDate
This Is Start Line,This Is Start Line,This Is Start Line,This Is Start Line,This Is Start Line
General,General,General,Website Accessible,29-05-2023 07:30:34
General,General,General,Website Accessible,29-05-2023 07:30:42
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,30-05-2023 03:29:40
General,General,General,Reading Config File....,30-05-2023 03:29:48
General,General,General,Config Data has been added to dictionary,30-05-2023 03:29:48
General,General,General,Data added to queue successfully,30-05-2023 03:29:50
General,General,General,Folder is Created at location for output folder:Data\Output\30-05-2023\NCARD_31,30-05-2023 03:29:50
General,General,General,Output Report File Creation Completed,30-05-2023 03:29:50
General,General,General,Website Accessible,30-05-2023 03:29:52
General,General,General,Website Accessible,30-05-2023 03:30:09
General,General,General,Website Accessible,30-05-2023 03:30:15
General,General,General,RPA {Your Process Name} Completed.,30-05-2023 03:30:20
General,General,Process,Dear Team,<br><br>Robot has started RPA Piramal Reports Automation.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,30-05-2023 03:40:01
General,General,General,Reading Config File....,30-05-2023 03:40:05
General,General,General,Config Data has been added to dictionary,30-05-2023 03:40:06
General,General,General,Data added to queue successfully,30-05-2023 03:40:08
General,General,General,Folder is Created at location for output folder:Data\Output\30-05-2023\NCARD_32,30-05-2023 03:40:08
General,General,General,Output Report File Creation Completed,30-05-2023 03:40:08
General,General,General,Website Accessible,30-05-2023 03:40:10
General,General,General,Website Accessible,30-05-2023 03:40:31
General,General,General,Website Accessible,30-05-2023 03:40:39
General,General,General,RPA {Your Process Name} Completed.,30-05-2023 03:40:50
General,General,Process,Dear Team,<br><br>Robot has started RPA {Your Process Name}.<br><br>Thanks and Regards,<br>
 RPA Team<br>-------------------------------------------------------------------<br>This is auto generated email, please do no reply on this email.,02-06-2023 11:34:10
